,Player,* = NCAA Tournament appearance,Conference,Games,Games Started,Minutes Played Per Game,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Offensive Rebounds Per Game,Defensive Rebounds Per Game,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Personal Fouls Per Game,Points Per Game, ,"Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."
0,Devin Harris,Wisconsin,,96,96,35.0,4.6,10.2,.447,2.6,5.0,.522,1.9,5.2,.375,3.8,4.8,.778,0.7,3.4,4.1,3.1,1.7,0.4,1.8,2.1,14.8,,7.74
0,Bruce Brown,Hampton,,114,75,20.4,3.7,6.2,.602,3.7,6.2,.602,0.0,0.0,,1.5,3.2,.470,1.8,3.2,5.0,0.4,0.2,1.2,1.8,2.3,9.0,,-10.69
0,Keith Askins,Alabama,,128,38,23.1,2.3,5.2,.446,1.5,3.1,.477,0.8,2.1,.400,1.1,1.7,.658,,,4.3,0.7,0.7,0.4,1.1,2.4,6.7,,6.23
0,Quincy Lewis,Minnesota,,127,61,23.4,4.8,10.4,.460,3.8,7.5,.505,1.0,2.9,.344,2.1,2.9,.723,,,4.0,1.5,1.4,0.7,1.5,2.7,12.7,,8.59
0,Maurice Cheeks*,West Texas A&M,,106,,35.0,4.3,7.6,.568,,,,,,,2.9,4.3,.678,,,3.9,,,,,2.8,11.6,,2.36
0,Morlon Wiley,Long Beach State,,113,24,28.3,4.8,10.6,.448,3.6,7.7,.470,1.1,2.9,.390,2.0,2.6,.780,,,2.8,3.8,1.7,0.2,2.4,2.5,12.7,,3.62
0,Pat Durham,Colorado State,,125,50,32.8,5.6,11.0,.515,,,.527,,,.111,4.6,6.5,.697,,,6.8,1.5,1.0,1.4,2.5,2.5,15.8,,3.38
0,Cory Higgins,Colorado,,132,131,33.9,4.9,10.6,.467,4.0,7.9,.509,0.9,2.7,.347,4.3,5.2,.825,0.7,3.4,4.1,2.4,1.5,0.4,2.3,2.3,15.2,,6.28
0,Kiki Vandeweghe,UCLA,,113,,24.9,4.7,8.3,.570,,,,,,,2.7,3.5,.776,,,5.0,1.5,,,,1.3,12.2,,5.29
0,Delon Wright,Utah,,68,68,34.8,5.0,9.3,.535,4.4,7.5,.594,0.6,1.9,.299,4.5,5.5,.814,1.1,4.7,5.8,5.2,2.3,1.1,2.2,1.6,15.0,,6.82
